,0
18,"예전에 불국사에서 구경했던 겹벚꽃이 너무너무 예쁘고 좋았는데 
다음에 기회가 되면 꼭 그시기에 또 구경하고 싶어요 >_<"
19,"운문사의 겹벚꽃나무 
겹겹이 핀 꽃잎이 풍성하고 아름다운것 같아요 
예쁜 꽃들이 
시기에 맞추어서 딱딱~ 피어나는 것이 너무나도 신기한 봄날 "
20,"그 순간의 날씨도 좋고 분위기도 좋고 
이날은 진짜 처음부터 끝까지 성공적이였던 것 같습니다 
조용하게 경치도 감상하고 자연도 즐기시고 싶으신 분들에게는 꼭 추천해드리고 싶어요 !
청도에 방문하신다면 저처럼 이런 감성을 좋아라하시는 분들은 
운문사 꼭 다녀와보시길 바랍니다 "
21,옆에는 맑은 계곡물이 졸졸졸
22,"아마도 이것은 등꽃나무인것 같은데 
그때는 다 진건가? 싶었는데 이제 알고보니 지금쯤 아마 예쁜 보라빛으로 물들지 않았을까 싶어요 
요즘 예쁜 사진들 많이 찾아보고 있는데 
등꽃나무들은 5월쯤 개화한다고 보았는데 
지금쯤 너무 예쁠듯합니다 "
23,반듯하고 단정한 아름다움 
24,"저는 개인적으로 이부분들이 너무 아름다고 신기한것 같아요 
어떻게 과거에 만들었을지 너무나도 신기한...
자세히 보면 지붕위에 호리병같은것들이 쭈욱~ 올려져 있어요 
아마도 무슨 의미가 담겨있는 것이겠죠?"
25,"자세히 보면 이런 느낌
색감도 완벽하고 문양도 완벽한 모습
전통의 아름다움"
26,"곧 부처님 오신날이 다가오니까 
이맘때쯤 가면 제가 갔을 때와는 또 다른 느낌이 있지 않을까 싶네요 
그때도 뭔가 신청할수 있는게 있었던것 같은데 
기억이 잘 안나네요.....
등불? "
27,"앗! 그리고 한켠에 커다랗게 있는 소나무 
자세히 보면 한그루인데 엄청 오래된 나무인것 같더라고요 
가지마다 무거워서 쳐지지 말라고 지지대가 엄청 많이 세워져있던 소나무 
그만큼의 역사가 담겨져 있지 않을까요?"
28,"너무 아름다운 운문사를 한바퀴 돌면서 구경하고 
나오기전에 입구쪽에 있는 기념품샵? 에서 잠시 구경도하고 
나와서 집으로 돌아간던 하루 "
29,"입구쪽에 아름다운 소나무 길이 있어서 
잠깐 걸으면서 구경도 했어요 
너무 운치있고 좋은 곳♥ 가보시고 싶으신가요?"
30,
31,"경북 여행지 추천 영덕 강구항 신혼여행
코로나가 신혼여행의 패턴을 완전히
 바꾸어놓았군요.
최근 저희 가게가 위치한  영덕 강구항에
결혼식을 마친 신혼부부들이 줄지여 찾아와
신혼여행을 즐기는데요.
제주도는 아무때나 갈수있으니 이런 기회에
부산에서 양양까지 동해안을 신혼여행지로
선택 하는듯 합니다.
여유가있는 신혼부부의 경우 
남해안 ~ 동해안을 일주일정도  일정으로
스케쥴을 잡기도 하더군요.
경북 여행지 추천 신혼여행코스 영덕 강구항!!
대게백화점2호점 문의 
010 5743-9137"
32,"영덕 강구항은 국내산 박달대게의 주산지 입니다.
수율좋은 박달대게가 금어기를 제외하면
넘쳐 나죠.
그 맛과 품질은 가격이 말해주고 있습니다.
매년 11월과 4월 5월이 그래도 비교적
가격도 덜 비싸 실속있게 대게를  
먹을수  있는 기간 입니다.
강구항 주변이 숙소라면 이른아침
대게경매장도 하나의 신혼여행 코스로
잡아볼만 합니다.
좋은 볼거리니 추천 해봅니다
국내산 박달대게는 모든 수산물중
선물용으로 최상입니다.
따라서 품질좋은 영덕대게는 신혼여행
선물로도 재격  입니다."
33,"거의 매주 신혼여행객들이 찾아오시다보니
저희 대게백화점2호점 에서는
가격도 괜찮고 크기도 괜찮은 박달대게를
늘 준비해두고 있습니다.
마리당 8-10만원정도면
선물용으로 좋은 박달대게를 구입할수 있습니다.
대게백화점2호점 에서
영덕대게 코스요리를 드신다면
국내산 박달대게 두마리 코스요리
240.000원 짜리가 가장 많이 판매가 되며
수입대게, 홍게, 박달대게를 조합해서
드신다면 2인기준 18-24만원정도로
드실수 있습니다."
34,"영덕에서 1박을 하지 않더라도
직접 보고 선물용 박달대게를 고를수 있으니
꼭 대게백화점2호점을 찾아 주시기
바랍니다."
35,"홍게도 박달홍게
수율 최상품으로 준비되어 있습니다."
36,"대게 홍게의 입찰은 강구항 강구수협 위판장으로
와야 구경할수 있습니다.
경매가 없는날도 있기 때문에  하루전
대게경매가 있는지의 여부를 미리 체크
하셔야 합니다."
37,"영덕 고속도로를 이용하면 정송20분
안동 50분이면 도착하므로
지루할수있는 바다여행을 잠시 미루고
내륙 여행을 해보는것도 추천드릴만
하겠네요.
먹거리 볼거리를 미리 확인하고
안동 청송을 경유한다면  더좋은 신혼여행 코스가
될것 같습니다."
38,영덕 강구항 대게 입찰 현장
39,"경북 여행지 추천 영덕에 오시면
그럴싸한 바다풍경을 보면서 영덕대게코스요리를
맛볼수 있는 대게백화점2호점이 있습니다."
40,"부담없이 찾을수 있는 숨은 맛집
가볼만한 여행지 동해안 대표 여행지
영덕 강구항에는 신혼여행객이 즐겨찾는
대게백화점2호점이 있습니다.
영덕은 차를 잠시 세워두고 걸을만한
도보여행 코스가 즐비합니다.
그냥 지나치지 마시고  영덕의 푸른 바다를
마음속에 담아가시기를 바랍니다,
모두 건강한 주말 보내세요...!"
41,"늘 바쁜 친정엄마랑 이번 여름에는 같이
휴가도 못가고 해서 아이 방학끝나기 전에
엄마 모시고 청도 온천왔는데요.
온김에 그냥 온천욕만 하고 가긴 머해서
바로 옆 경북 여행지 추천
청도 프로방스 빛축제 구경을 갔어요.
아직은 더운 날씨인데 낮에는 손님이 별로 없더니
점등 시간인 7시쯤 되니까 제법 모이시더라고요.
 역시나 사진찍기좋은 곳이라 그런지
가족끼리 연인끼리 카메라와 셀카봉 들고 많이들 오셨어요. "
42,"일단 청도 프로방스 가는길에
청도용암온천 들러서 객실 체크인하고
짐도 푼 다음에 3분 거리인
청도 프로방스로 갔답니다."
43,"입구에서 매표하시면 되는데요
차를 탄 상태에서 바로 매표도 가능한 곳이에요.
주차는 안쪽으로 더 들어가면 있답니다.
매표소는 두군데라서 편하신 곳에서 하심 되는것 같은데요
전 보통 첫번째 매표소에서 했어요.
평일 16:00 ~ 21:10
토요일 14:00 ~ 22:10
일/공휴일 14:00 ~ 21:40
입장권만 구매하셔도 되고,
프로방스 패키지, 짚라인 패키지로
구매하셔도 된답니다.
아이들 있다면 프로방스패키지가 좋구요.
집라인 타는거 좋아하시는 분들은
짚라인 패키지도 갠찮은것 같아요.
경북 여행지 추천할만하죠.
짚라인까지 즐길 수 있는 사진찍기 좋은
청도 프로방스에요."
44,"금강산도 식후경이라고
올때마다 먹던 곳이라 그런지
아이가 바싹불고기 맛있는집 가자며~
그래서 이번에도 프로방스 안에 있는
하늘정원에서 저녁을 든든하게 먹었답니다
저희가 저녁먹을때만 해도
거의 사람이 없더니 저녁 먹고 나오니
조금 어둑해서 그런지 관람객들이 삼삼오오 모이기 시작하더라고요."
45,처음 오시는분 가이드맵 확안하셔도 좋을 것 같아요.
46,"지난번과 달리 세계 명화100선
유명 화가 명작들이 많이 전시되어 있었어요.
돌아다니다보니 불빛이 들어오기시작해서
낮과 밤의 사진들을 섞어서 올려봅니다.
같은 장소 다른 느낌 +_+
늦여름이다보니 아무래도 빛이 
반짝이는 밤이 더욱 로맨틱하긴 하더라고요."
47,"빈센트 반 고흐 뿐만 아니라
앙리 마티스, 클림트 등 어디선가
한 번쯤은 본듯한 작품들을 만날 수가 있답니다.
유치원 미술시간에 한학기를
반 고흐에 대해서 배운적이 있어서
아는 그림들이 있다고 뛰어다니면서 
이야기 해주더라고요.
아이들 정서적으로도 교유적으로도
도움이 될만한 세계 명화 거리에요."
48,밤에는 또 이른 멋진 분위기 +_+
49,"지난번 셀프 프로방스 스튜디오에서
멋진 사진 왕창 건졌는데
이번에 빠질수 없죠
친정엄마랑 아들이랑 둘다 백호!
두마리 호랑이의 멋진 사진을 찍으러 갔답니다."
50,"굉장히 다양한 컨셉의 무대가 19개나 있어요.
어느곳에서 찍어도 작품이라며"
51,"SD카드 들고오셔서 카메라 대여도 가능하구요.
셀카봉도 유료 대여해주세요.
SD카드가 없는 경우는 현장에서 판매도 하고 있어요.
저는 제카메라로 찍었답니다."
52,"조명까지 다 마련되어 있어서
아주 이쁜 사진을 건져갈 수 있어요.
초보도 프로처럼~ ㅋㅋㅋ
카메라만 좋은거 가지고 있으시다면
셀프 프로방스 스튜디오에서 
멋진 추억 가득 담아 가실 수 있을 꺼랍니다."
53,"친정엄마 사진도 이쁘게 +_+
사진찍어드린다니 너무 좋아하시는 엄마.
언제 이렇게 이쁜 배경에서 이쁜 사진
찍어 드리겠어요~ ㅋㅋ"
54,"독사진도 찍어주고
예전처럼 사진에 협조 안해주는 
불량한 10세 꼬마."
55,"가만 있지 못하고 자꾸 흔들흔들
건들건들 이쁜 사진
건지기도 참 힘드네요.
모든 코너를 다 찍을려면
오랜 시간 투자해야하긴 해요 ㅋㅋ"
56,"여기저기 다 찍을려니 삐질만하죠~!
그래도 남는건 사진뿐인거얼~"
57,할머니랑 같이 사진도 찍고!
58,"네온사진 존도 있는데
여기는 참 사진 찍기 힘든 ㅋㅋ
그래도 찍어놓으면 참 이쁜 곳이에요.
셀프 프로방스 스튜디오에서 
에너지 엄청 소모하고 
조금씩 어둑해지는
밖으로 나와봅니다."
59,"청도 프로방스 낮과 밤은 사뭇 다른 느낌이죠
밤이 훨씬 화려하고 아름다워요.
그래서 그런지 저녁되면 다들 오셔서
데이트도 하고 사진도 찍고~
즐거운 시간 룰루랄라~
특히나 여름이라곤 하지만
이제는 제법 선선해서 선풍기없이도
시원하게 즐기기 좋은 저녁날씨에요
대신 모기들이 좀 있어서 조심조심."
60,"가을에는 이길에 낙엽가득하면
엄청 이뻐서 포토존으로 아주 유명한
철길이에요.
밤되도 무척 이쁘답니다."
61,"산타클로스가 엄청 많았던기억이 나는데
딸기 친구들이 포진해있어서 더욱
귀여워졌어요.
어른들은 청도 소싸움이 제법 유명해서
다 알고 계시던데
저희 엄마도 여기는 처음이라
밤되서 불 들어오니
너무 이쁘다고 좋아하셨어요."
62,"할머니 신기한거 보여줄꼐요하면서
급하게 달려간 거울 미로."
63,"거울 미로 이용시간은
청도 프로방스 이용시간이랑 같은것 같아요."
64,"거울에 지문이 남지 않도록
양손에 비닐장갑을 주거든요
착용하고 들어가면되는데요
저 이거 처음할때 엄청 쿵쿵 박았더랬어요."
65,"저희 엄마 처음이시라 당황 ㅋ
어디로 가야하냐며~
오른손으로 벽만 짚고 따라가기
저랑 엄마는 멈칫멈칫
아들은 쏜살같이 출구로 ㅋㅋ"
66,"출구를 지나서도 다양한 거울들이
있어서 재미난 놀이를 할 수 있답니다."
67,"바이킹 타러 가야겠다고
청도랜드로 고고싱
꼬꼬마 아이들은 미니기차를 타고 있네요.
바이킹에 사람이 없어서 일단 야광물고기 부터 하러 들어갔어요."
68,"여기 들어갈때마다 느끼는 거지만
현란하고 화려하고 시원해서
너무 좋았던 곳."
69,"스탬프 투어 완성하면 야광팔찌도 받을 수 있답니다.
그냥 청도 프로방스 산책만 해도 힐링되긴한데요
아이들과 함꼐 온다면 이런 야기자기한
재미난 거리들도 많아서
청도 오시는 분들 경북 여행지로 추천해드리고 
싶은 곳이랍니다."
70,"넓은 공간은 아니지만
아래 발자국 따라서 돌아다니면서
물고기에 대해서 공부도 하고
아이들에게 괜찮은 곳인것 같아요."
71,"야광팔찌는 산책하면서
하나씩 팔에 두르고 다니기!"
72,"참 오래된 공원같고
유아들용 놀이기구이긴하지만
아직도 애기인가봅니다.
사계절 썰매장은 진짜 좋아하는데
오늘은 무리하지 않기로
바이킹 하나로 합의를 봤어요."
73,"시시하지만 재미있답니다.
살짝 애기들 타는 용이긴한데
또 놀러 온김에 타보는 재미는 덤!"
74,"반고흐 별빛 정원에도 드디어
불빛들이 들어오기 시작
7시가 되어가니 점등식!
다같이 5 4 3 2 1 점등!! 두둥 ㅋㅋ"
75,"별난 나무에도 조롱조롱 물빛들이 한가득
만화나라 온것 같은 느낌의 나무라
보고만 있어도 동화책 속에 들어온것 같아요."
76,"귀신열차도 있는데요.
아이들이 밖에서 무서운지
들어가지 못하고 ㅋㅋ 머뭇하는 애들이 많아요
지난번에 온 가족이 들어가봤는데
넘 무서웠 ㅋㅋㅋ
기차 앞에 이쁜 귀부인 초상화가 있는데
점점점 무섭게 변하거든요 ㅋㅋ
아이들이 그 화면에서 눈을 때지못한답니다.
귀신열차 체험비: 4,000원"
77,"대신 4D 영화관가서 영화 2편이나보고
앵그리버드 게임도 했다죠.
아이가 영화보는 동안에
4D영화관안에 무료 핸드폰 충전소가 있어서
스마트폰 충전하면서 기력회복중 "
78,"불빛이 점등되니 형형색색
불빛들로 청도 프로방스 전체가
화사하게 옷을 갈아 입었어요.
얼마나 아름답고 이쁜지 몰라요.
매법 봐도 이쁜데
처음 보는 저희 엄마는
감탄사를 자아내시더라고요.
아빠한테 전화하셔서 여기 너무이쁘다고 ㅋㅋ
다음에 아빠도 모시고 와야겠담서"
79,"프로포즈 로드
긴 터널안을 연인과 같이 걸어간다면
없었던 사랑도 생겨나고
싸운일들도 물거품이 되지 않을까! ㅋㅋ"
80,"걷는 동안 기분도 참 좋았던 프로포즈 로드에요.
영상으로 반짝임이 더욱 살아있는것 같아요."
81,"가족끼리와서 좋은 추억도 만들고
옛날 이야기도 하면서 더욱 즐거웠던 시간.
이쁜 포토존들이 300개나 되어서
경북 사진찍기 좋은 곳으로도
아주 유명한 곳이랍니다.
여기 저기 하트 팡팡~~
경북 여행지 추천 데이트 코스로 짱이지요."
82,"연인들에게 가장 인기 좋은 프로포즈 가든이랍니다.
조형물들이 워낙 핑크핑크
러블리해서 낮에 찍어도 이쁜 곳이에요."
83,"너무 이쁘죠 +_+
어떤 커플이 사진찍는 모습 살짝 담아봤어요.
다음에 신랑이랑 해봐야지 ㅋㅋㅋㅋ"
84,"대형 스크린이 있는 광장쪽에도
엄청 이쁜 하트 불빛이 뽕뽕!
겨울에 와도 엄청 이쁘던데
계절에 상관없이 빛축제는
언제나 봐도 멋지고 황홀한것 같죠."
85,"출출할때는 중간에 간식도 먹어주고
납작만두 킬러 등장 
시원한 음료와 함께 잠시 쉬는 타임.
가족끼리도 괜찮고. 부모님 모시고 오기도 좋은
그리고 데이트코스로는 완전 멋진 곳이랍니다."
86,"다같이 프로포즈 가든을 둘러보고
멋진 웨딩스튜디오도 마련되어 있었어요.
낮에와도 여기는 엄청 이쁘겠던데~ 
밤에도 뒤쪽에 멋진 빛축제 덕분에 돋보이네요.
예비신랑 신부들이 오면 설레겠어요~"
87,"빛축제의 하일라이트는 사계절 빛정원
운명의계단을 올라가면서 부터 구경을 해는데요
멀리서 보면 산 언덕 한켠이 다 빛으로 빛난다죠."
88,"봄,여름, 가을, 겨울로
구성되어 있지만 그냥 마구잡이로
구경하기~ 여기는 바로 여름인듯?
산토리니 느낌 물씬 나는 곳"
89,"걸음걸음 올라가다보면
그 화려함에 넋을 놓고 보게되죠.
어찌 저리 이쁘게 꾸며놓았는지
매번 봐도 신기뽕하답니다."
90,"봄의 나비들이  마치 살아움직이는 느낌
알록달록 빛축제 무리들이
여기저기 살아 움직이는것 같답니다.
로맨틱하면서도 환상적인 모습에
대구 근교 청도 데이트코스로도 딱 좋겠죠."
91,"잠시 쉬어갈 수있는
포토존들도 중간 중간 마련되어 있어서
카메라를 집어 넣을 수가 없어요."
92,"황금 물결의 가을
허수아비친구들이 마중나와있네요.
4계절을 다 담아놓은 곳인데요
길따라 쭈욱 걸어다니면서 산책도 하고
눈으로 이쁜 풍경 실컷 담고 힐링이 따로 없네요."
93,"영상으로 청도 프로방스 빛축제
감상해보세요~
다음에는 같이 보러 가기 ! ㅋ
곧 가을이라서 더욱 걸어다니기 좋을 것 같아요
그때쯤이면 모기도 없겠죠"
94,"사계절 빛 정원을 둘러보고
세계 명화거리 쪽으로 다시 길어 오는데
빛무리가 가득해서 낮보다 더 포근한
느낌을 받을 수 있었어요.
여기저기 아이들의 웃음소리도 들리고
연인들의 사진찍는 모습도 보이고
밤이 되니 더욱 활기찬
경북 여행지 추천각 청도 프로방스네요."
95,"하늘정원쪽에 주차해놓아서
입구쪽으로 걸어 나와보니
온 천지가 별빛들로 물들어 있네요.
쉬엄쉬엄 걸으면서 둘러보고
이젠 용암온천가서 온천욕즐기러 고고~"
96,"경상북고 청도군 화양읍 삼산리 877
청도프로방스"
97,
98,"교회, 성당은 예배 또는 미사 드리는 곳, 사찰은 불공 드리는 곳으로 종교시설 입니다
이런 종교시설이 관광지로써 힌클랑의 눈높이를 맞추는, 가치를 인정받는것은 대단히 힘든 일로 
아시아 지역의 경우 어디어디 성당이 유명하더라, 절이 유명하더라.. 해서 
가보면 대부분 허접하거나 그냥저냥 볼만한 정도에 그치곤 했습니다
이번에 경상도,전라도,충청도 지방 돌면서 
사찰의 아름다움에 감탄하며 사찰의 새로운 면을 일깨워준 곳이 두곳 있는데 
하동 쌍계사와 영주 부석사가 그 주인공 입니다
오늘 글은 지금까지 제가 본 국내 사찰중 가장 아름다웠던 부석사에 대한 이야기 입니다
영주 부석사
방문날짜 : 2020년 5월 30일
관람 소요시간 : 1시간 10분"
99,"주차장
경북에 있는 영주 부석사는 주차장에서 부터 부석사까지 안 예쁜곳이 없는 
완벽 그 자체인 사찰로 주차장 클라스부터 남다른데요
경내 정원이라도 해도 믿겨질만큼 예쁜걸로는 탑 클래스 주차장 입니다
사진 속 주차장은 입구에서 가까운 관광 종합안내소 인근 소규모 주차장으로 
인근에 큰~ 대형 주차장 별도로 있습니다
주차요금은 3,000원"
100,
101,"부석사 가는 길
일반적으로 관광지 입장시간은 오전 9시부터가 가장 많습니다
하루 투어 일정을 오전 7시에 시작하는 저로써는 이른 아침에도 입장할수있는 곳을 첫 스타트로 
방문하는 경우가 많은데요
그래서 사찰, 공원, 저수지 등이 그날의 첫번째 목적지가 되곤 하고 
영주 부석사를 방문한 시간도 오전 9시 이전 이었습니다
상쾌한 아침 공기 맡으며 아무도 없는 길 산책하는 느낌 아실라나 모르겠네요
같은 곳을 가도 만족도가 다릅니다..^^"
102,"지금은 알지만 이때까지만 하더라도 
영주 부석사가 얼마나 대단한 사찰인지 몰랐는데 
사찰 가는길 주변에 늘어선 노점 수를 보고 엄청 유명한 절임을 대번에 알겠더라구요"
103,"이른 시간이라 아직 오픈전인 노점들
노점이 주는 느낌은 생동감, 다양한 볼거리, 잡스러움, 상업성 등 
긍정적인 요인과 부정적인 요인이 다양하게 섞여있는데 아직 좌판 안깔았고 아침 공기가 맑아서인지 
부정적인 느낌은 못 받았습니다"
104,"부사 13개에 만원
올라가는 길에 부지런한 노점상이 건내는 사과 한조각 받아 먹었는데 맛있는겁니다
돌아가는길에 그 노점상에서 부사 만원어치 사갔습니다
영주 사과가 유명?한데 산지라 그런지 싸고, 단맛이 달달한것이 맛있더라구요
참고로 알도 꽤 굵은 사과 입니다"
105,왼쪽 계단으로 올라가면 매표소이고 오른쪽 길은 나오는 길 입니다
106,매표소
107,"홈페이지에 나와있는 입장료 및 주차요금
사찰 관람 요금이 홈페이지에 나와있다.. 이 의미를 대부분의 분들은 모르실텐데 
절 입장료에 논란 어제 오늘 일이 아니잖아요?
그래서인지 사찰 홈페이지가 있어도 입장요금을 표시한 사찰은 지금까지 제 기억에 없었습니다
근데 영주 부석사는 떡~하니 표시하고 있더라구요
부석사의 이런 행위는 아름다운 사찰을 가진자의 자신감의 표현 아닐까.. 싶기도 합니다
입장료는 성인 2,000원 / 청소년 1,500원 / 어린이 1,000원 으로 
이날 오전 9시 이전에 방문한 관계로 주차비 및 입장료 안내고 공짜 구경 했습니다
주차장에서 매표소까지 거리는 300m 쯤 됩니다"
108,"은행나무 길
은행나무 길 포스 장난 아니지 않나요?
힐링 힐링 거리는데 진짜 힐링이 뭔지 느끼고 싶으시면 이른 아침 영주 부석사 가시면 되십니다
주차하는 그 순간부터 느낌 좋았는데 은행나무 길 보는 순간 
와~ 여기는 이미 끝났다, 최고구나, 세상에 이런 사찰이 있다니.. 싶으면서 
완전 Game Over 되더라구요"
109,걷고 싶은 길
110,"일주문
이해를 위해 부석사 공부 조금하고 들어가면..
의상대사 라고 들어보셨나요? 원효대사, 사명대사 등과 함께 대사라 불리는 유명한 스님으로 
의상대사가 창건한 불교가 화엄종 입니다
화엄종은 불교계에서 상당히 큰 종파로 알고 있는데 
그 화엄종의 근본도량 그러니까 본점이 부석사로 그 역사와 위상이 나만 몰랐지 
이미 대단한 대~ 사찰 입니다"
111,연두빛 가득한 은행나무 산책로
112,"당간지주
300m? 가량 은행나무 길을 걸어 일주문을 지나 천왕문에 다다르면 
큰 기둥 2개가 보이는데 보물 이라고 합니다
보물 이라고 하니 살펴보고가면..
절에 법회나 기도등 행사가 있을때 입구에 당 이라는 깃발을 꼿아두는데 
그 깃발을 담아두는 깃대를 당간 이라 하고 당간을 지탱해주는 돌기둥이 당간지주 입니다
당간지주는 1,300년전 신라시대 석조유물로 보물 제255호 이기도 합니다"
113,"천왕문 올라가는 계단
은행나무 길이 진짜 멋지기는 하지만 약간 오르막 길을 300m 가량 올라왔더니 숨 차더라구요
이제 천왕문 계단만 오르면 부석사 안으로 들어가는 겁니다"
114,"회전문 앞 전경
경북 영주 부석사는 보는 이를 압도하는 자연의 웅장함이 있는데 
본당 올라가는 회전문 앞 경치도 압권 입니다
저런 구도는 경주 불국사가 유명한데 
불국사는 건축물이 아름답고, 부석사는 녹음이 아름답다는 차이가 있습니다
나 불국사 갔다왔는데 멋있었어.. 이런분 많으시죠?
불국사도 물론 멋있는 절이지만 영주 부석사와 하동 쌍계사와 비교하면 멋짐에서 밀리고 
힌클랑은 경주 불국사 정도를 가지고 아름다움을 논하지 않습니다
본당 입구를 측면에서 바라본 모습으로 
중앙 계단을 오르는 길과 지붕 살짝 보이는 관음전 방향 그냥 길로 가는 루트가 있는데 
여기까지 오시는라 조금 힘드시겠지만 중앙 계단 오르시는게 더 좋습니다"
115,"새로운 세계로 향하는 회전문
각종 후기들 보다보면 저 문을 지나면 어떤 세상이 펼쳐질지 두근두근 거렸어요.. 라는 
진짜인지 그냥 하는 소린지 모를 류의 소리 많이 하는데요
여기까지 오며 본게 있으니 저 문을 들어선 순간 나도 모르게 기대 되더라구요
진짜루.."
116,
117,"새로운 세상 : The New World
부석사 경내에 들어섰는데 
와~ 진짜 눈이 휘둥그레지는것이 세상에 이런 사찰도 있구나.. 싶더라구요
하동 쌍계사에서 이미 한번의 경험이 있음에도 불구하고 충격으로 다가왔는데요
하동 쌍계사가 자연스럽게 자연과 어우러지는 소박한? 미 라면 
영주 부석사는 자연 이라는 두 글자가 파도처럼 나에게 밀려들어오는듯한 
아주 강렬한 임펙트가 있습니다
경북 영주 부석사 와보고 안 예쁘게 느끼시는 분이 계신다면 사람도 아니고 
이글 제목이 달리 7월 국내 여행지 추천 이 아닙니다"
118,
119,"어디하나 소홀한곳 없이 균형있는 구도의 건물들과 경내 전체를 뒤덮은 정원이 어우러지니 
아름다운 부석사 만의 우아한 자태가 어느 각도에서 봐도 느껴지더라구요"
